Component_Type,Inspection_Style,Inspection_Item,Inspection_Category,Pseudo_Code,Result,CM,Qty
Electrical,Static,Front_Light,Function,SF01,Pass,TConn,183
Electrical,Static,Front_Light,Function,SF01,Fail,TConn,3
Electrical,Static,Front_Light,Function,SF01,DNI,TConn,36
Electrical,Static,Rear_Light,Function,SF02,Pass,TConn,183
Electrical,Static,Rear_Light,Function,SF02,Fail,TConn,3
Electrical,Static,Rear_Light,Function,SF02,DNI,TConn,36
Electrical,Static,LED_Ring,Function,SF03,Pass,TConn,179
Electrical,Static,LED_Ring,Function,SF03,Fail,TConn,7
Electrical,Static,LED_Ring,Function,SF03,DNI,TConn,36
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Pass,TConn,209
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Fail,TConn,0
Mechanical,Static,Frame_Noise,Cosmetic,SC01,DNI,TConn,13
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Pass,TConn,134
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Fail,TConn,85
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,DNI,TConn,3
Mechanical,Static,Kickstand_Noise,Function,SF04,Pass,TConn,43
Mechanical,Static,Kickstand_Noise,Function,SF04,Fail,TConn,166
Mechanical,Static,Kickstand_Noise,Function,SF04,DNI,TConn,13
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Pass,TConn,215
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Fail,TConn,4
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,DNI,TConn,3
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Pass,TConn,185
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Fail,TConn,3
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,DNI,TConn,34
Mechanical,Static,Brake_Tube,Safety,SS01,Pass,TConn,200
Mechanical,Static,Brake_Tube,Safety,SS01,Fail,TConn,8
Mechanical,Static,Brake_Tube,Safety,SS01,DNI,TConn,14
Electrical,Static,Battery,Function,SF05,Pass,TConn,186
Electrical,Static,Battery,Function,SF05,Fail,TConn,0
Electrical,Static,Battery,Function,SF05,DNI,TConn,36
Electrical,Static,Kicklock,Function,SF06,Pass,TConn,183
Electrical,Static,Kicklock,Function,SF06,Fail,TConn,3
Electrical,Static,Kicklock,Function,SF06,DNI,TConn,36
Electrical,Static,Main_ECU,Function,SF07,Pass,TConn,186
Electrical,Static,Main_ECU,Function,SF07,Fail,TConn,0
Electrical,Static,Main_ECU,Function,SF07,DNI,TConn,36
Electrical,Static,Horn,Function,SF08,Pass,TConn,186
Electrical,Static,Horn,Function,SF08,Fail,TConn,0
Electrical,Static,Horn,Function,SF08,DNI,TConn,36
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Pass,TConn,67
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Fail,TConn,152
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,DNI,TConn,3
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Pass,TConn,164
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Fail,TConn,55
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,DNI,TConn,3
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Pass,TConn,146
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Fail,TConn,73
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,DNI,TConn,3
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Pass,TConn,120
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Fail,TConn,99
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,DNI,TConn,3
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Pass,TConn,146
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Fail,TConn,73
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,DNI,TConn,3
Electrical,Static,Assistance_Level_Change,Function,SF09,Pass,TConn,185
Electrical,Static,Assistance_Level_Change,Function,SF09,Fail,TConn,1
Electrical,Static,Assistance_Level_Change,Function,SF09,DNI,TConn,36
Mechanical,Dynamic,Brake_System,Safety,DS01,Pass,TConn,167
Mechanical,Dynamic,Brake_System,Safety,DS01,Fail,TConn,39
Mechanical,Dynamic,Brake_System,Safety,DS01,DNI,TConn,16
Electrical,Dynamic,BB_Sensor,Function,DF01,Pass,TConn,185
Electrical,Dynamic,BB_Sensor,Function,DF01,Fail,TConn,1
Electrical,Dynamic,BB_Sensor,Function,DF01,DNI,TConn,36
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Pass,TConn,186
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Fail,TConn,11
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,DNI,TConn,25
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Pass,TConn,194
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Fail,TConn,3
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,DNI,TConn,25
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Pass,TConn,155
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Fail,TConn,43
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,DNI,TConn,24
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Pass,TConn,196
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Fail,TConn,1
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,DNI,TConn,25
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Pass,TConn,153
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Fail,TConn,33
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,DNI,TConn,36
Electrical,Dynamic,Motor,Function,DF06,Pass,TConn,176
Electrical,Dynamic,Motor,Function,DF06,Fail,TConn,9
Electrical,Dynamic,Motor,Function,DF06,DNI,TConn,37
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Pass,TConn,166
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Fail,TConn,19
Electrical,Dynamic,Kicklock_Noise,Function,DF07,DNI,TConn,37
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Pass,TConn,183
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Fail,TConn,2
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,DNI,TConn,37
Electrical,Static,Front_Light,Function,SF01,Pass,Ideal,15
Electrical,Static,Front_Light,Function,SF01,Fail,Ideal,0
Electrical,Static,Front_Light,Function,SF01,DNI,Ideal,0
Electrical,Static,Rear_Light,Function,SF02,Pass,Ideal,14
Electrical,Static,Rear_Light,Function,SF02,Fail,Ideal,1
Electrical,Static,Rear_Light,Function,SF02,DNI,Ideal,0
Electrical,Static,LED_Ring,Function,SF03,Pass,Ideal,14
Electrical,Static,LED_Ring,Function,SF03,Fail,Ideal,1
Electrical,Static,LED_Ring,Function,SF03,DNI,Ideal,0
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Pass,Ideal,15
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Fail,Ideal,0
Mechanical,Static,Frame_Noise,Cosmetic,SC01,DNI,Ideal,0
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Pass,Ideal,5
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Fail,Ideal,10
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,DNI,Ideal,0
Mechanical,Static,Kickstand_Noise,Function,SF04,Pass,Ideal,2
Mechanical,Static,Kickstand_Noise,Function,SF04,Fail,Ideal,13
Mechanical,Static,Kickstand_Noise,Function,SF04,DNI,Ideal,0
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Pass,Ideal,10
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Fail,Ideal,5
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,DNI,Ideal,0
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Pass,Ideal,11
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Fail,Ideal,3
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,DNI,Ideal,1
Mechanical,Static,Brake_Tube,Safety,SS01,Pass,Ideal,15
Mechanical,Static,Brake_Tube,Safety,SS01,Fail,Ideal,0
Mechanical,Static,Brake_Tube,Safety,SS01,DNI,Ideal,0
Electrical,Static,Battery,Function,SF05,Pass,Ideal,15
Electrical,Static,Battery,Function,SF05,Fail,Ideal,0
Electrical,Static,Battery,Function,SF05,DNI,Ideal,0
Electrical,Static,Kicklock,Function,SF06,Pass,Ideal,15
Electrical,Static,Kicklock,Function,SF06,Fail,Ideal,0
Electrical,Static,Kicklock,Function,SF06,DNI,Ideal,0
Electrical,Static,Main_ECU,Function,SF07,Pass,Ideal,15
Electrical,Static,Main_ECU,Function,SF07,Fail,Ideal,0
Electrical,Static,Main_ECU,Function,SF07,DNI,Ideal,0
Electrical,Static,Horn,Function,SF08,Pass,Ideal,15
Electrical,Static,Horn,Function,SF08,Fail,Ideal,0
Electrical,Static,Horn,Function,SF08,DNI,Ideal,0
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Pass,Ideal,10
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Fail,Ideal,5
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,DNI,Ideal,0
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Pass,Ideal,14
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Fail,Ideal,1
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,DNI,Ideal,0
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Pass,Ideal,5
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Fail,Ideal,10
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,DNI,Ideal,0
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Pass,Ideal,4
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Fail,Ideal,11
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,DNI,Ideal,0
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Pass,Ideal,2
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Fail,Ideal,13
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,DNI,Ideal,0
Electrical,Static,Assistance_Level_Change,Function,SF09,Pass,Ideal,15
Electrical,Static,Assistance_Level_Change,Function,SF09,Fail,Ideal,0
Electrical,Static,Assistance_Level_Change,Function,SF09,DNI,Ideal,0
Mechanical,Dynamic,Brake_System,Safety,DS01,Pass,Ideal,15
Mechanical,Dynamic,Brake_System,Safety,DS01,Fail,Ideal,0
Mechanical,Dynamic,Brake_System,Safety,DS01,DNI,Ideal,0
Electrical,Dynamic,BB_Sensor,Function,DF01,Pass,Ideal,15
Electrical,Dynamic,BB_Sensor,Function,DF01,Fail,Ideal,0
Electrical,Dynamic,BB_Sensor,Function,DF01,DNI,Ideal,0
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Pass,Ideal,15
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Fail,Ideal,0
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,DNI,Ideal,0
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Pass,Ideal,15
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Fail,Ideal,0
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,DNI,Ideal,0
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Pass,Ideal,15
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Fail,Ideal,0
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,DNI,Ideal,0
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Pass,Ideal,15
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Fail,Ideal,0
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,DNI,Ideal,0
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Pass,Ideal,9
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Fail,Ideal,6
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,DNI,Ideal,0
Electrical,Dynamic,Motor,Function,DF06,Pass,Ideal,9
Electrical,Dynamic,Motor,Function,DF06,Fail,Ideal,6
Electrical,Dynamic,Motor,Function,DF06,DNI,Ideal,0
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Pass,Ideal,15
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Fail,Ideal,0
Electrical,Dynamic,Kicklock_Noise,Function,DF07,DNI,Ideal,0
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Pass,Ideal,15
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Fail,Ideal,0
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,DNI,Ideal,0
Electrical,Static,Front_Light,Function,SF01,Pass,Speedtech,25
Electrical,Static,Front_Light,Function,SF01,Fail,Speedtech,0
Electrical,Static,Front_Light,Function,SF01,DNI,Speedtech,0
Electrical,Static,Rear_Light,Function,SF02,Pass,Speedtech,25
Electrical,Static,Rear_Light,Function,SF02,Fail,Speedtech,0
Electrical,Static,Rear_Light,Function,SF02,DNI,Speedtech,0
Electrical,Static,LED_Ring,Function,SF03,Pass,Speedtech,24
Electrical,Static,LED_Ring,Function,SF03,Fail,Speedtech,1
Electrical,Static,LED_Ring,Function,SF03,DNI,Speedtech,0
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Pass,Speedtech,23
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Fail,Speedtech,2
Mechanical,Static,Frame_Noise,Cosmetic,SC01,DNI,Speedtech,0
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Pass,Speedtech,12
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Fail,Speedtech,13
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,DNI,Speedtech,0
Mechanical,Static,Kickstand_Noise,Function,SF04,Pass,Speedtech,1
Mechanical,Static,Kickstand_Noise,Function,SF04,Fail,Speedtech,24
Mechanical,Static,Kickstand_Noise,Function,SF04,DNI,Speedtech,0
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Pass,Speedtech,22
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Fail,Speedtech,3
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,DNI,Speedtech,0
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Pass,Speedtech,22
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Fail,Speedtech,3
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,DNI,Speedtech,0
Mechanical,Static,Brake_Tube,Safety,SS01,Pass,Speedtech,25
Mechanical,Static,Brake_Tube,Safety,SS01,Fail,Speedtech,0
Mechanical,Static,Brake_Tube,Safety,SS01,DNI,Speedtech,0
Electrical,Static,Battery,Function,SF05,Pass,Speedtech,25
Electrical,Static,Battery,Function,SF05,Fail,Speedtech,0
Electrical,Static,Battery,Function,SF05,DNI,Speedtech,0
Electrical,Static,Kicklock,Function,SF06,Pass,Speedtech,25
Electrical,Static,Kicklock,Function,SF06,Fail,Speedtech,0
Electrical,Static,Kicklock,Function,SF06,DNI,Speedtech,0
Electrical,Static,Main_ECU,Function,SF07,Pass,Speedtech,25
Electrical,Static,Main_ECU,Function,SF07,Fail,Speedtech,0
Electrical,Static,Main_ECU,Function,SF07,DNI,Speedtech,0
Electrical,Static,Horn,Function,SF08,Pass,Speedtech,25
Electrical,Static,Horn,Function,SF08,Fail,Speedtech,0
Electrical,Static,Horn,Function,SF08,DNI,Speedtech,0
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Pass,Speedtech,1
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Fail,Speedtech,24
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,DNI,Speedtech,0
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Pass,Speedtech,0
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Fail,Speedtech,25
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,DNI,Speedtech,0
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Pass,Speedtech,8
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Fail,Speedtech,17
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,DNI,Speedtech,0
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Pass,Speedtech,8
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Fail,Speedtech,17
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,DNI,Speedtech,0
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Pass,Speedtech,3
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Fail,Speedtech,13
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,DNI,Speedtech,9
Electrical,Static,Assistance_Level_Change,Function,SF09,Pass,Speedtech,25
Electrical,Static,Assistance_Level_Change,Function,SF09,Fail,Speedtech,0
Electrical,Static,Assistance_Level_Change,Function,SF09,DNI,Speedtech,0
Mechanical,Dynamic,Brake_System,Safety,DS01,Pass,Speedtech,21
Mechanical,Dynamic,Brake_System,Safety,DS01,Fail,Speedtech,3
Mechanical,Dynamic,Brake_System,Safety,DS01,DNI,Speedtech,1
Electrical,Dynamic,BB_Sensor,Function,DF01,Pass,Speedtech,24
Electrical,Dynamic,BB_Sensor,Function,DF01,Fail,Speedtech,0
Electrical,Dynamic,BB_Sensor,Function,DF01,DNI,Speedtech,1
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Pass,Speedtech,23
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Fail,Speedtech,1
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,DNI,Speedtech,1
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Pass,Speedtech,24
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Fail,Speedtech,0
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,DNI,Speedtech,1
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Pass,Speedtech,23
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Fail,Speedtech,1
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,DNI,Speedtech,1
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Pass,Speedtech,24
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Fail,Speedtech,0
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,DNI,Speedtech,1
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Pass,Speedtech,8
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Fail,Speedtech,16
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,DNI,Speedtech,1
Electrical,Dynamic,Motor,Function,DF06,Pass,Speedtech,24
Electrical,Dynamic,Motor,Function,DF06,Fail,Speedtech,0
Electrical,Dynamic,Motor,Function,DF06,DNI,Speedtech,1
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Pass,Speedtech,24
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Fail,Speedtech,0
Electrical,Dynamic,Kicklock_Noise,Function,DF07,DNI,Speedtech,1
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Pass,Speedtech,23
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Fail,Speedtech,1
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,DNI,Speedtech,1
Electrical,Static,Front_Light,Function,SF01,Pass,Overall,223
Electrical,Static,Front_Light,Function,SF01,Fail,Overall,3
Electrical,Static,Front_Light,Function,SF01,DNI,Overall,36
Electrical,Static,Rear_Light,Function,SF02,Pass,Overall,222
Electrical,Static,Rear_Light,Function,SF02,Fail,Overall,4
Electrical,Static,Rear_Light,Function,SF02,DNI,Overall,36
Electrical,Static,LED_Ring,Function,SF03,Pass,Overall,217
Electrical,Static,LED_Ring,Function,SF03,Fail,Overall,9
Electrical,Static,LED_Ring,Function,SF03,DNI,Overall,36
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Pass,Overall,247
Mechanical,Static,Frame_Noise,Cosmetic,SC01,Fail,Overall,2
Mechanical,Static,Frame_Noise,Cosmetic,SC01,DNI,Overall,13
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Pass,Overall,151
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,Fail,Overall,108
Mechanical,Static,Handlebar_Cosmetics,Cosmetic,SC02,DNI,Overall,3
Mechanical,Static,Kickstand_Noise,Function,SF04,Pass,Overall,46
Mechanical,Static,Kickstand_Noise,Function,SF04,Fail,Overall,203
Mechanical,Static,Kickstand_Noise,Function,SF04,DNI,Overall,13
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Pass,Overall,247
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,Fail,Overall,12
Mechanical,Static,E-shifter_Plug_Cosmetics,Cosmetic,SC02,DNI,Overall,3
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Pass,Overall,218
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,Fail,Overall,9
Mechanical,Static,Charger_Plug_Cosmetics,Cosmetic,SC03,DNI,Overall,35
Mechanical,Static,Brake_Tube,Safety,SS01,Pass,Overall,240
Mechanical,Static,Brake_Tube,Safety,SS01,Fail,Overall,8
Mechanical,Static,Brake_Tube,Safety,SS01,DNI,Overall,14
Electrical,Static,Battery,Function,SF05,Pass,Overall,226
Electrical,Static,Battery,Function,SF05,Fail,Overall,0
Electrical,Static,Battery,Function,SF05,DNI,Overall,36
Electrical,Static,Kicklock,Function,SF06,Pass,Overall,223
Electrical,Static,Kicklock,Function,SF06,Fail,Overall,3
Electrical,Static,Kicklock,Function,SF06,DNI,Overall,36
Electrical,Static,Main_ECU,Function,SF07,Pass,Overall,226
Electrical,Static,Main_ECU,Function,SF07,Fail,Overall,0
Electrical,Static,Main_ECU,Function,SF07,DNI,Overall,36
Electrical,Static,Horn,Function,SF08,Pass,Overall,226
Electrical,Static,Horn,Function,SF08,Fail,Overall,0
Electrical,Static,Horn,Function,SF08,DNI,Overall,36
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Pass,Overall,78
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,Fail,Overall,181
Mechanical,Static,Frame_Cosmetics,Cosmetic,SC04,DNI,Overall,3
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Pass,Overall,178
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,Fail,Overall,81
Mechanical,Static,Front_Fork_Cosmetics,Cosmetic,SC05,DNI,Overall,3
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Pass,Overall,159
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,Fail,Overall,100
Mechanical,Static,Front_Fender_Cosmetics,Cosmetic,SC06,DNI,Overall,3
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Pass,Overall,132
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,Fail,Overall,127
Mechanical,Static,Rear_Fender_Cosmetics,Cosmetic,SC07,DNI,Overall,3
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Pass,Overall,151
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,Fail,Overall,99
Mechanical,Static,Handlebar_Grip_Gap,Cosmetic,SC08,DNI,Overall,12
Electrical,Static,Assistance_Level_Change,Function,SF09,Pass,Overall,225
Electrical,Static,Assistance_Level_Change,Function,SF09,Fail,Overall,1
Electrical,Static,Assistance_Level_Change,Function,SF09,DNI,Overall,36
Mechanical,Dynamic,Brake_System,Safety,DS01,Pass,Overall,203
Mechanical,Dynamic,Brake_System,Safety,DS01,Fail,Overall,42
Mechanical,Dynamic,Brake_System,Safety,DS01,DNI,Overall,17
Electrical,Dynamic,BB_Sensor,Function,DF01,Pass,Overall,224
Electrical,Dynamic,BB_Sensor,Function,DF01,Fail,Overall,1
Electrical,Dynamic,BB_Sensor,Function,DF01,DNI,Overall,37
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Pass,Overall,224
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,Fail,Overall,12
Mechanical,Dynamic,Front_Brake_Disc_Noise,Function,DF02,DNI,Overall,26
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Pass,Overall,233
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,Fail,Overall,3
Mechanical,Dynamic,Rear_Brake_Disc_Noise,Function,DF03,DNI,Overall,26
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Pass,Overall,193
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,Fail,Overall,44
Mechanical,Dynamic,Chain_Guard_Issue,Safety,DF04,DNI,Overall,25
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Pass,Overall,235
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,Fail,Overall,1
Mechanical,Dynamic,Wheelset_Whobble,Safety,DS02,DNI,Overall,26
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Pass,Overall,170
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,Fail,Overall,55
Electrical,Dynamic,Dynamic_E-Shifter_Gear_Shifting,Function,DF05,DNI,Overall,37
Electrical,Dynamic,Motor,Function,DF06,Pass,Overall,209
Electrical,Dynamic,Motor,Function,DF06,Fail,Overall,15
Electrical,Dynamic,Motor,Function,DF06,DNI,Overall,38
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Pass,Overall,205
Electrical,Dynamic,Kicklock_Noise,Function,DF07,Fail,Overall,19
Electrical,Dynamic,Kicklock_Noise,Function,DF07,DNI,Overall,38
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Pass,Overall,221
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,Fail,Overall,3
Mechanical,Dynamic,Rear_Hub_Noise,Function,DF08,DNI,Overall,38
